date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T15:45,18.0,64.4
2026-06-26,2026-06-26T08:30,10.5,50.9
2026-06-26,2026-06-26T12:45,12.2,54.0
2026-06-26,2026-06-26T13:15,12.0,53.6
2026-06-26,2026-06-26T14:15,9.9,49.8
2026-06-26,2026-06-26T14:45,10.2,50.4
2026-06-27,2026-06-27T01:00,4.5,40.1
2026-06-27,2026-06-27T08:45,7.1,44.8
2026-06-27,2026-06-27T13:30,10.0,50.0
2026-06-28,2026-06-28T09:30,6.9,44.4,2026-06-28 09:30:00
2026-06-28,2026-06-28T13:30,10.3,50.5,2026-06-28 13:30:00
2026-06-29,2026-06-29T06:45,3.9,39.0,2026-06-29 06:45:00
2026-06-29,2026-06-29T14:45,10.2,50.4,2026-06-29 14:45:00
2026-06-30,2026-06-30T03:30,6.1,43.0,2026-06-30 03:30:00
2026-06-30,2026-06-30T11:15,12.9,55.2,2026-06-30 11:15:00
2026-07-01,2026-07-01T03:45,5.3,41.5,2026-07-01 03:45:00
2026-07-01,2026-07-01T11:30,13.8,56.8,2026-07-01 11:30:00
2026-07-02,2026-07-02T11:15,16.0,60.8,2026-07-02 11:15:00
2026-07-03,2026-07-03T02:45,9.5,49.1,2026-07-03 02:45:00
2026-07-03,2026-07-03T10:00,16.4,61.5,2026-07-03 10:00:00
2026-07-04,2026-07-04T08:45,17.2,63.0,2026-07-04 08:45:00
2026-07-04,2026-07-04T13:30,20.2,68.4,2026-07-04 13:30:00
2026-07-05,2026-07-05T01:30,11.5,52.7,2026-07-05 01:30:00
2026-07-05,2026-07-05T08:45,13.5,56.3,2026-07-05 08:45:00
2026-07-05,2026-07-05T13:30,14.6,58.3,2026-07-05 13:30:00
2026-07-06,2026-07-06T15:00,19.6,67.3,2026-07-06 15:00:00
2026-07-07,2026-07-07T09:00,16.1,61.0,2026-07-07 09:00:00
2026-07-07,2026-07-07T14:45,20.4,68.7,2026-07-07 14:45:00
2026-07-08,2026-07-08T00:15,12.0,53.6,2026-07-08 00:15:00
2026-07-09,2026-07-09T03:30,11.7,53.1,2026-07-09 03:30:00
2026-07-09,2026-07-09T11:15,19.5,67.1,2026-07-09 11:15:00
2026-07-10,2026-07-10T03:30,12.0,53.6,2026-07-10 03:30:00
2026-07-10,2026-07-10T11:00,19.8,67.6,2026-07-10 11:00:00
2026-07-11,2026-07-10T23:15,15.3,59.5,2026-07-10 23:15:00
2026-07-11,2026-07-11T03:30,13.9,57.0,2026-07-11 03:30:00
2026-07-11,2026-07-11T08:30,17.7,63.9,2026-07-11 08:30:00
2026-07-11,2026-07-11T13:00,23.2,73.8,2026-07-11 13:00:00
2026-07-12,2026-07-12T00:30,14.9,58.8,2026-07-12 00:30:00
2026-07-12,2026-07-12T08:30,15.9,60.6,2026-07-12 08:30:00
2026-07-12,2026-07-12T13:00,20.1,68.2,2026-07-12 13:00:00
2026-07-13,2026-07-13T01:30,13.5,56.3,2026-07-13 01:30:00
2026-07-14,2026-07-14T05:00,10.0,50.0,2026-07-14 05:00:00
2026-07-14,2026-07-14T09:30,15.2,59.4,2026-07-14 09:30:00
2026-07-14,2026-07-14T13:30,18.1,64.6,2026-07-14 13:30:00
2026-07-15,2026-07-14T23:15,12.3,54.1,2026-07-14 23:15:00
2026-07-15,2026-07-15T05:00,11.5,52.7,2026-07-15 05:00:00
2026-07-15,2026-07-15T13:30,20.5,68.9,2026-07-15 13:30:00
2026-07-16,2026-07-15T23:30,13.0,55.4,2026-07-15 23:30:00
2026-07-16,2026-07-16T13:00,19.6,67.3,2026-07-16 13:00:00
2026-07-17,2026-07-16T23:15,12.9,55.2,2026-07-16 23:15:00
2026-07-17,2026-07-17T04:45,10.6,51.1,2026-07-17 04:45:00
2026-07-17,2026-07-17T13:15,20.8,69.4,2026-07-17 13:15:00
2026-07-18,2026-07-17T22:45,13.3,55.9,2026-07-17 22:45:00
2026-07-18,2026-07-18T03:45,12.1,53.8,2026-07-18 03:45:00
2026-07-18,2026-07-18T08:30,16.8,62.2,2026-07-18 08:30:00
2026-07-18,2026-07-18T13:00,21.2,70.2,2026-07-18 13:00:00
2026-07-19,2026-07-19T00:15,14.4,57.9,2026-07-19 00:15:00
2026-07-19,2026-07-19T13:00,22.8,73.0,2026-07-19 13:00:00
2026-07-20,2026-07-20T01:15,13.5,56.3,2026-07-20 01:15:00
2026-07-20,2026-07-20T10:00,19.1,66.4,2026-07-20 10:00:00
2026-07-21,2026-07-21T09:45,16.9,62.4,2026-07-21 09:45:00
2026-07-21,2026-07-21T13:45,20.0,68.0,2026-07-21 13:45:00
2026-07-22,2026-07-22T09:45,17.4,63.3,2026-07-22 09:45:00
2026-07-22,2026-07-22T13:45,20.9,69.6,2026-07-22 13:45:00
2026-07-23,2026-07-23T00:30,14.2,57.6,2026-07-23 00:30:00
2026-07-23,2026-07-23T10:00,20.9,69.6,2026-07-23 10:00:00
2026-07-24,2026-07-24T00:30,15.9,60.6,2026-07-24 00:30:00
2026-07-24,2026-07-24T10:00,21.5,70.7,2026-07-24 10:00:00
2026-07-25,2026-07-25T06:00,13.6,56.5,2026-07-25 06:00:00
2026-07-25,2026-07-25T10:45,20.4,68.7,2026-07-25 10:45:00
2026-07-25,2026-07-25T15:30,21.7,71.1,2026-07-25 15:30:00
2026-07-26,2026-07-26T02:00,13.3,55.9,2026-07-26 02:00:00
2026-07-26,2026-07-26T06:00,11.6,52.9,2026-07-26 06:00:00
2026-07-26,2026-07-26T10:45,19.4,66.9,2026-07-26 10:45:00
2026-07-26,2026-07-26T15:45,21.1,70.0,2026-07-26 15:45:00
2026-07-27,2026-07-27T03:30,12.2,54.0,2026-07-27 03:30:00
2026-07-27,2026-07-27T07:00,13.0,55.4,2026-07-27 07:00:00
2026-07-27,2026-07-27T11:15,19.3,66.7,2026-07-27 11:15:00
2026-07-28,2026-07-28T02:30,12.7,54.9,2026-07-28 02:30:00
2026-07-28,2026-07-28T06:30,12.5,54.5,2026-07-28 06:30:00
2026-07-28,2026-07-28T15:45,20.9,69.6,2026-07-28 15:45:00
2026-07-29,2026-07-29T02:30,12.0,53.6,2026-07-29 02:30:00
2026-07-29,2026-07-29T06:45,12.1,53.8,2026-07-29 06:45:00
2026-07-29,2026-07-29T15:45,20.3,68.5,2026-07-29 15:45:00
2026-07-30,2026-07-30T02:15,12.2,54.0,2026-07-30 02:15:00
2026-07-30,2026-07-30T06:15,12.9,55.2,2026-07-30 06:15:00
2026-07-31,2026-07-31T02:30,14.7,58.5,2026-07-31 02:30:00
2026-07-31,2026-07-31T06:30,14.7,58.5,2026-07-31 06:30:00
2026-07-31,2026-07-31T11:15,23.0,73.4,2026-07-31 11:15:00
2026-08-01,2026-08-01T02:00,15.9,60.6,2026-08-01 02:00:00
2026-08-01,2026-08-01T05:45,15.3,59.5,2026-08-01 05:45:00
2026-08-01,2026-08-01T10:45,23.4,74.1,2026-08-01 10:45:00
2026-08-02,2026-08-02T02:00,15.9,60.6,2026-08-02 02:00:00
2026-08-02,2026-08-02T06:00,14.6,58.3,2026-08-02 06:00:00
2026-08-02,2026-08-02T15:45,23.1,73.6,2026-08-02 15:45:00
2026-08-03,2026-08-03T07:15,14.9,58.8,2026-08-03 07:15:00
2026-08-03,2026-08-03T11:30,22.4,72.3,2026-08-03 11:30:00
2026-08-03,2026-08-03T15:45,23.5,74.3,2026-08-03 15:45:00
2026-08-04,2026-08-04T02:30,15.2,59.4,2026-08-04 02:30:00
2026-08-04,2026-08-04T11:15,22.6,72.7,2026-08-04 11:15:00
2026-08-05,2026-08-05T02:30,15.7,60.3,2026-08-05 02:30:00
2026-08-05,2026-08-05T06:45,14.1,57.4,2026-08-05 06:45:00
2026-08-05,2026-08-05T11:15,23.0,73.4,2026-08-05 11:15:00
2026-08-05,2026-08-05T15:45,23.8,74.8,2026-08-05 15:45:00
2026-08-06,2026-08-06T02:30,16.4,61.5,2026-08-06 02:30:00
2026-08-06,2026-08-06T06:30,15.5,59.9,2026-08-06 06:30:00
2026-08-07,2026-08-06T18:15,22.6,72.7,2026-08-06 18:15:00
2026-08-07,2026-08-07T01:00,17.3,63.1,2026-08-07 01:00:00
2026-08-07,2026-08-07T10:30,24.5,76.1,2026-08-07 10:30:00
2026-08-07,2026-08-07T15:15,22.2,72.0,2026-08-07 15:15:00
2026-08-08,2026-08-08T00:30,18.6,65.5,2026-08-08 00:30:00
2026-08-08,2026-08-08T05:15,17.7,63.9,2026-08-08 05:15:00
